run_type,param2,param3,weights,model_setting,model,mae_raw,mae_weighted,crps_raw,crps_weighted,mae_improvement_pct,crps_improvement_pct
calibration,0.25,0.8,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.883011261721262,2.6752354844264814,2.3524349423643076,8.54704249456474,10.287744308391968
calibration,0.25,0.9,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.86803735034101,2.6752354844264814,2.345080356730914,8.736791028581033,10.519981007313255
calibration,0.25,1.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.8549839614473935,2.6752354844264814,2.3387447446495906,8.901983737425919,10.71985568391508
calibration,0.25,1.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.827918652238599,2.6752354844264814,2.3261072985072584,9.237952449898184,11.1184649394312
calibration,0.25,1.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.80780946194629,2.6752354844264814,2.3167098195041738,9.4863201943155,11.413823040871643
calibration,0.25,2.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.77834946552549,2.6752354844264814,2.304113779271134,9.856348366001432,11.808992741279123
calibration,0.25,3.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.747266176861549,2.6752354844264814,2.2913553476651476,10.239711649325193,12.205846800844393
calibration,0.25,4.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.730643630787106,2.6752354844264814,2.2860800755011907,10.440289979631638,12.36541683854446
calibration,0.25,5.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.723589369181269,2.6752354844264814,2.284635618692327,10.521662333015035,12.403323694883333
calibration,0.25,6.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.719103774340168,2.6752354844264814,2.2850192529872975,10.573345994912817,12.38434090312143
calibration,0.5,0.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.9223767656724595,2.6752354844264814,2.4017026682164766,8.163830055787862,8.80793786096457
calibration,0.5,0.05,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.849564512591087,2.6752354844264814,2.3686468276080612,9.068237796442332,9.8171821928132
calibration,0.5,0.1,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.7872480625720835,2.6752354844264814,2.3413290021797812,9.839859235356569,10.658174327762964
calibration,0.5,0.15,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.736578140620434,2.6752354844264814,2.3198229876487533,10.475689937217737,11.32381827369198
calibration,0.5,0.2,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.697403334554794,2.6752354844264814,2.302911905328362,10.96561700189417,11.849510791285054
calibration,0.5,0.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.6651986909161085,2.6752354844264814,2.2895998914143503,11.37232222886623,12.267026253135137
calibration,0.5,0.3,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.639362417062169,2.6752354844264814,2.2790909449835244,11.698093911103639,12.597763412097102
calibration,0.5,0.35,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.618649329096372,2.6752354844264814,2.2706411178846286,11.95705541473451,12.864800450427788
calibration,0.5,0.4,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.602768840921221,2.6752354844264814,2.263711189800115,12.159249599355425,13.08398673727375
calibration,0.5,0.45,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.58744803036102,2.6752354844264814,2.257846871477779,12.352609157950335,13.267591637026438
calibration,0.5,0.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.574551599125416,2.6752354844264814,2.252900343383699,12.51630342738642,13.422879773643698
calibration,0.5,0.55,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.56277726884599,2.6752354844264814,2.2487204714692055,12.667791457994939,13.554501410905058
